,Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2020,2021,CD_code
98,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,27,116
99,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"1,308",116
100,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,57,116
101,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"2,319",116
102,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,50,116
103,BK 16,Brownsville,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,"2,748",116
0,BK 17,East Flatbush,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,38.2%,40.6%,43.9%,,,117
1,BK 17,East Flatbush,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,6.1%,5.5%,,,117
2,BK 17,East Flatbush,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,54.5%,53.5%,52.6%,48.1%,,,117
3,BK 17,East Flatbush,Demographics,Population,"All people, both children and adults, living in a given geographic area.","145,263","147,390","140,285","136,009",,,117
4,BK 17,East Flatbush,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.1%,11.2%,11.7%,17.0%,,,117
5,BK 17,East Flatbush,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,45.0%,42.9%,40.7%,32.3%,,,117
6,BK 17,East Flatbush,Demographics,Single-person households,The share of households that include only one person.,,26.0%,26.5%,27.7%,,,117
7,BK 17,East Flatbush,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,1.0%,0.3%,0.8%,2.3%,,,117
8,BK 17,East Flatbush,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,88.7%,89.5%,89.2%,85.8%,,,117
9,BK 17,East Flatbush,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,5.4%,6.5%,7.5%,7.6%,,,117
10,BK 17,East Flatbush,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,1.5%,1.0%,1.1%,2.5%,,,117
11,BK 17,East Flatbush,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.21,0.19,0.20,0.26,,,117
12,BK 17,East Flatbush,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.9,5.0,4.5,,,117
13,BK 17,East Flatbush,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$57,800","$54,970","$52,580","$63,990",,,117
14,BK 17,East Flatbush,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$82,220","$84,580","$85,190",,,117
15,BK 17,East Flatbush,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$43,770","$40,620","$54,490",,,117
16,BK 17,East Flatbush,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.4%,19.1%,15.4%,9.9%,,,117
17,BK 17,East Flatbush,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,18.8%,17.9%,10.3%,,,117
18,BK 17,East Flatbush,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,29.0%,20.6%,11.0%,,,117
19,BK 17,East Flatbush,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,63.8%,64.2%,61.8%,,,117
20,BK 17,East Flatbush,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,17.9%,15.1%,14.1%,,,117
21,BK 17,East Flatbush,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",12.49%,8.35%,12.77%,5.01%,,,117
22,BK 17,East Flatbush,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,32.1%,38.2%,36.0%,32.4%,,,117
23,BK 17,East Flatbush,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"51,871","52,526","58,600",,,117
24,BK 17,East Flatbush,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,5.1%,3.8%,,,117
25,BK 17,East Flatbush,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,103.8,123.6,187.8,157.2,211.4,117
26,BK 17,East Flatbush,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.4%,3.6%,,,117
27,BK 17,East Flatbush,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,504.9,536.7,691.7,493.2,763.6,117
28,BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",16.1,22.8,33.3,20.4,10.5,10.9,117
29,BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,271,371,575,340,173,186,117
30,BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,185,273,341,136,57,44,117
31,BK 17,East Flatbush,Housing Market and Conditions,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,55,71,168,175,102,121,117
32,BK 17,East Flatbush,Housing Market and Conditions,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,106.5,57.9,37.1,117
33,BK 17,East Flatbush,Housing Market and Conditions,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,"1,623",880,563,117
34,BK 17,East Flatbush,Housing Market and Conditions,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,45,3,14,,,,117
35,BK 17,East Flatbush,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.7%,73.1%,36.9%,34.9%,,117
36,BK 17,East Flatbush,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,54.8%,1.6%,16.7%,7.4%,,117
37,BK 17,East Flatbush,Housing Market and Conditions,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,41.0%,8.8%,3.9%,1.1%,,117
38,BK 17,East Flatbush,Housing Market and Conditions,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,48.9,11.7,19.9,14.7,,117
39,BK 17,East Flatbush,Housing Market and Conditions,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,48.7%,9.4%,44.2%,43.7%,,117
40,BK 17,East Flatbush,Housing Market and Conditions,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,2.8%,52.2%,7.1%,7.0%,,117
41,BK 17,East Flatbush,Housing Market and Conditions,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,110.9,14.5,24.5,42.2,,117
42,BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,173,289,60,137,83,118,117
43,BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,313,592,143,249,162,152,117
44,BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,28,72,17,16,20,22,117
45,BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,3,10,21,17,15,15,117
46,BK 17,East Flatbush,Housing Market and Conditions,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,517,963,241,419,280,307,117
47,BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 1 family building (2021$)",The median price per unit for one unit buildings.,,"$552,290","$412,610","$609,480","$610,600","$664,000",117
48,BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 2-4 family building (2021$)",The median price per unit for two- to four-unit buildings.,,"$305,650","$215,410","$328,380","$344,040","$351,180",117
49,BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, 5+ family building (2021$)",The median price per unit for multifamily buildings.,,"$106,230","$85,960","$184,480","$132,330","$157,600",117
50,BK 17,East Flatbush,Housing Market and Conditions,"Median sales price per unit, condominium (2021$)",The median price per unit for condominiums.,,"$391,480","$367,570","$567,450","$559,980","$530,000",117
51,BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,227.5,160.8,275.0,287.9,301.4,117
52,BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,225.4,165.6,282.5,295.1,298.1,117
53,BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,190.3,170.3,522.8,232.4,269.8,117
54,BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,311.1,223.5,314.6,351.4,383.1,117
55,BK 17,East Flatbush,Housing Market and Conditions,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,223.8,164.6,287.8,289.5,302.0,117
56,BK 17,East Flatbush,Land Use and Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,47.9,45.6,44.2,,,117
57,BK 17,East Flatbush,Land Use and Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,26,0,7,678,434,,117
58,BK 17,East Flatbush,Land Use and Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,82,176,80,938,625,,117
59,BK 17,East Flatbush,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",67.7%,72.2%,69.9%,72.6%,,,117
60,BK 17,East Flatbush,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,50.1,45.6,46.6,47.8,,,117
61,BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,14.7,13.5,10.0,10.3,11.1,117
62,BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,9.0,7.8,5.4,5.0,5.3,117
63,BK 17,East Flatbush,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,5.7,5.7,4.7,5.3,5.8,117
64,BK 17,East Flatbush,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,43.3%,,,117
65,BK 17,East Flatbush,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,36.3%,,,117
66,BK 17,East Flatbush,Renters,"Median rent, 2- and 3-bedrooms (2021$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,380","$1,490",,,117
67,BK 17,East Flatbush,Renters,"Median rent, all (2021$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,100","$1,220","$1,310","$1,500",,,117
68,BK 17,East Flatbush,Renters,"Median rent, recent movers (2021$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,260","$1,520",,,117
69,BK 17,East Flatbush,Renters,"Median rent, studios and 1-bedrooms (2021$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,130","$1,250",,,117
70,BK 17,East Flatbush,Renters,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,-0.8%,,117
71,BK 17,East Flatbush,Renters,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,4.8%,11.0%,,,117
72,BK 17,East Flatbush,Renters,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,85.6%,85.6%,,,117
73,BK 17,East Flatbush,Renters,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,99.7%,99.0%,,,117
74,BK 17,East Flatbush,Renters,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,27.4%,26.3%,27.5%,,,117
75,BK 17,East Flatbush,Renters,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,34.4%,33.7%,,,117
76,BK 17,East Flatbush,Renters,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,6.7%,7.1%,,,117
77,BK 17,East Flatbush,Renters,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,26.1%,,30.7%,31.6%,,,117
78,BK 17,East Flatbush,Renters,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,43.2%,41.9%,,,117
79,BK 17,East Flatbush,Renters,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.0%,0.2%,,,117
80,BK 17,East Flatbush,Renters,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,5.4%,3.8%,3.6%,,117
81,BK 17,East Flatbush,Renters,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,0.3%,117
82,BK 17,East Flatbush,Housing Market and Conditions,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,92,117
83,BK 17,East Flatbush,Housing Market and Conditions,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,0,117
84,BK 17,East Flatbush,Housing Market and Conditions,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,0,117
85,BK 17,East Flatbush,Housing Market and Conditions,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,8,117
86,BK 17,East Flatbush,Housing Market and Conditions,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,314,117
87,BK 17,East Flatbush,Housing Market and Conditions,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,11,117
88,BK 17,East Flatbush,Housing Market and Conditions,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,876,117
89,BK 17,East Flatbush,Housing Market and Conditions,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,4,117
90,BK 17,East Flatbush,Housing Market and Conditions,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,143,117
91,BK 17,East Flatbush,Housing Market and Conditions,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,1,117
92,BK 17,East Flatbush,Housing Market and Conditions,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,0,117
93,BK 17,East Flatbush,Housing Market and Conditions,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,68,117
94,BK 17,East Flatbush,Housing Market and Conditions,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,"1,775",117
95,BK 17,East Flatbush,Housing Market and Conditions,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,7,117
96,BK 17,East Flatbush,Housing Market and Conditions,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,385,117
97,BK 17,East Flatbush,Housing Market and Conditions,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,61,117
98,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (properties),"Total number of properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,9,117
99,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs between 2022 and 2027 (units),"Total number of units in properties eligible to expire between 2021 and 2025 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,313,117
100,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (properties),"Total number of properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,2,117
101,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs between 2028 and 2037 (units),"Total number of units in properties eligible to expire between 2026 and 2035 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,101,117
102,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (properties),"Total number of properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,3,117
103,BK 17,East Flatbush,Housing Market and Conditions,Eligible to expire from housing programs in 2038 and later (units),"Total number of units in properties eligible to expire in 2036 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,106,117
0,BK 18,Flatlands/Canarsie,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,,54.8%,53.3%,52.2%,,,118
1,BK 18,Flatlands/Canarsie,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",,,4.9%,5.2%,,,118
2,BK 18,Flatlands/Canarsie,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,37.3%,39.2%,41.4%,42.0%,,,118
3,BK 18,Flatlands/Canarsie,Demographics,Population,"All people, both children and adults, living in a given geographic area.","194,836","204,600","202,929","196,895",,,118
4,BK 18,Flatlands/Canarsie,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,11.2%,10.8%,11.1%,16.2%,,,118
5,BK 18,Flatlands/Canarsie,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,43.0%,40.6%,38.4%,31.5%,,,118
6,BK 18,Flatlands/Canarsie,Demographics,Single-person households,The share of households that include only one person.,,21.3%,21.8%,23.8%,,,118
7,BK 18,Flatlands/Canarsie,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,3.7%,3.0%,3.7%,5.4%,,,118
8,BK 18,Flatlands/Canarsie,Demographics,Percent Black,The percentage of the total population that identifies as black (non-Hispanic).,51.0%,59.2%,61.7%,62.5%,,,118
9,BK 18,Flatlands/Canarsie,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,8.1%,5.9%,8.2%,9.1%,,,118
10,BK 18,Flatlands/Canarsie,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,34.4%,30.6%,24.9%,21.4%,,,118
11,BK 18,Flatlands/Canarsie,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.55,0.55,0.55,,,118
12,BK 18,Flatlands/Canarsie,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,3.5,4.0,4.3,,,118
13,BK 18,Flatlands/Canarsie,Demographics,Median household income (2021$),The median household's total income of all members of the household aged 15 years or older.,"$82,570","$78,300","$71,390","$84,560",,,118
14,BK 18,Flatlands/Canarsie,Demographics,"Median household income, homeowners (2021$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$98,480","$92,440","$109,210",,,118
15,BK 18,Flatlands/Canarsie,Demographics,"Median household income, renters (2021$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$50,710","$52,210","$54,180",,,118
16,BK 18,Flatlands/Canarsie,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,12.2%,10.8%,11.4%,10.6%,,,118
17,BK 18,Flatlands/Canarsie,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.3%,14.3%,12.4%,,,118
18,BK 18,Flatlands/Canarsie,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,14.1%,16.1%,17.2%,,,118
19,BK 18,Flatlands/Canarsie,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,61.5%,65.0%,62.6%,,,118
20,BK 18,Flatlands/Canarsie,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,13.2%,12.6%,12.1%,,,118
21,BK 18,Flatlands/Canarsie,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",7.96%,5.52%,8.29%,3.23%,,,118
22,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,54.7%,62.4%,57.8%,58.3%,,,118
23,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"69,777","71,757","77,372",,,118
24,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.4%,2.3%,,,118
25,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,18.0,37.8,63.2,47.0,54.3,118
26,BK 18,Flatlands/Canarsie,Housing Market and Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.4%,3.9%,,,118
27,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,101.7,160.3,239.9,164.5,245.0,118
28,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",10.7,15.1,26.0,14.9,6.6,8.9,118
29,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,364,521,909,513,229,315,118
30,BK 18,Flatlands/Canarsie,Housing Market and Conditions,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,264,420,596,197,79,77,118
